search_hashtag,video_id,real_video_url,create_time,publish_date,clean_text,author_name,play_count,digg_count
france,7661939683353480192,https://www.tiktok.com/@placeholder/video/7661939683353480192,2026-07-13 09:19:13,,"Est-ce que la France sera championne du monde, selon vous ? 🤔 Les supporters des Bleus présents sur place semblent déjà avoir la réponse… 🤪",CANAL+ SPORT,0,0
france,7661918940481719296,https://www.tiktok.com/@placeholder/video/7661918940481719296,2026-07-13 07:58:44,,😍🇫🇷 #marinelepen #pourtoi #france,Marine Présidente fr ®,0,0
france,7661696468377488384,https://www.tiktok.com/@placeholder/video/7661696468377488384,2026-07-12 17:35:25,,La fin🤣🤣🤣😭 #viral #paris #france,biizon19🙅🏾‍♂️‼️👹🇺🇸,0,0
france,7661558315553524736,https://www.tiktok.com/@placeholder/video/7661558315553524736,2026-07-12 08:39:21,,#france #football #pourtoi #viral #reaction,LFX✰,0,0
france,7661931801086053376,https://www.tiktok.com/@placeholder/video/7661931801086053376,2026-07-13 08:48:39,,#lesbleus #coupedumonde #france,￴￴ ￴￴￴ ￴￴,0,0
france,7661931328887180288,https://www.tiktok.com/@placeholder/video/7661931328887180288,2026-07-13 08:46:51,,"🥹 Le magnifique discours de Franck Raviot, entraîneur des gardiens, à 2 jours de la demi-finale contre l’Espagne.  🎥 FFF/Equipe de France #FIFAWorldCup",EtiN sport,0,0
france,7661931352840834048,https://www.tiktok.com/@placeholder/video/7661931352840834048,2026-07-13 08:46:55,,le monde si la France gagne la cdm #🤣🤣🤣 #fyp #pourtoi #trend #nouvelleloi,￴ ￴ ￴ ￴ ￴ ￴ ￴ ￴￴ ￴ ￴￴ ￴ ￴￴ ￴,0,0
