search_hashtag,video_id,real_video_url,create_time,publish_date,clean_text,author_name,play_count,digg_count
française,7492518971581893632,https://www.tiktok.com/@placeholder/video/7492518971581893632,2025-04-12 20:00:19,,#francaise🇨🇵 #france🇫🇷,Ophelie,0,0
française,7422719919910882304,https://www.tiktok.com/@placeholder/video/7422719919910882304,2024-10-06 17:44:21,,Leçon :  Apprenez ces expressions françaises! #francais #french #learnfrench #apprendrelefrançais #cours #language,Le français de Mantoinette,0,0
française,7497068684637244416,https://www.tiktok.com/@placeholder/video/7497068684637244416,2025-04-25 02:15:55,,apprendre le français en Chantant #chanter #francais #francaise🇨🇵 #parlerfrancais #france🇫🇷 #france,deutsch alle für,0,0
française,7420837869922601984,https://www.tiktok.com/@placeholder/video/7420837869922601984,2024-10-01 16:01:02,,#france🇫🇷 #languefrançaise #parlerfrancais #francais #apprendre #apprendrelefrançais #france,Apprendre le Français Avec LeJ,0,0
française,7494676881480879104,https://www.tiktok.com/@placeholder/video/7494676881480879104,2025-04-18 15:34:05,,#vocabulaire #france🇫🇷 #apprendrelefrançais #apprendresurtiktok,VoixFR,0,0
française,7407451991921806336,https://www.tiktok.com/@placeholder/video/7407451991921806336,2024-08-26 14:17:10,,"Un homme intelligent explique à sa fille qu'elle est française avant d'être algérienne car elle vit, apprends et pousse dans ce beau pays qu'est la France. #france🇫🇷 #algerienne",Français à tribord,0,0
française,7506582920824458240,https://www.tiktok.com/@placeholder/video/7506582920824458240,2025-05-20 17:35:38,,#france #🇫🇷,Longmin,0,0
française,7087521124237593600,https://www.tiktok.com/@placeholder/video/7087521124237593600,2022-04-17 10:41:47,,Il fallait que qqun le dise #languefrancaise #francais #french #vocabulaire,Athéna Sol,0,0
française,7416107292564786176,https://www.tiktok.com/@placeholder/video/7416107292564786176,2024-09-18 22:04:03,,Alors ? #France #languefrançaise #parlerfrancais #francais #apprendre #apprendrelefrançais,ApprendreLeFrançais,0,0
française,7470392253781969920,https://www.tiktok.com/@placeholder/video/7470392253781969920,2025-02-12 04:58:07,,"Désolée les ricains, ce TikTok est entièrement en français! #pourtoi #french #francophone #culture #prof #madame #share #partager",Madame,0,0
française,7516591310187400192,https://www.tiktok.com/@placeholder/video/7516591310187400192,2025-06-16 16:53:18,,Je dois lui donner un cours sur les expressions qui ne sont pas dans le dico 🙃 #french #languefrancaise #expressionfrancaise #frenchaccent #frenchlanguage #frenchgirl #frenchexpression #fyp #boyfriend #couplestiktok,Angelique Joan,0,0
française,7040110754619476992,https://www.tiktok.com/@placeholder/video/7040110754619476992,2021-12-10 16:25:19,,#tiktokacademie #apprendrelefrançais #languefrançaise #apprendre,MaitresseAdeline🌼,0,0
française,7509134122149841920,https://www.tiktok.com/@placeholder/video/7509134122149841920,2025-05-27 14:35:36,,C’est comme ça ou pas? 😅 #humourfrancais #humour #drole_videos #look #girlythings #estimedesoi #femme #relatable,Fernanda Alice,0,0
française,7112409149836708864,https://www.tiktok.com/@placeholder/video/7112409149836708864,2022-06-23 12:20:04,,"""Je ne sais pas""🇫🇷🇫🇷#fle #francaise #francaisfacile #frensh #languefrançaise #francaise🇨🇵 #parlerfrancais #video #teacher #teachersontiktok #flow_squad #speakfrench #jenesaispas",Fadwa Glissa,0,0
française,7422391588560653312,https://www.tiktok.com/@placeholder/video/7422391588560653312,2024-10-05 20:30:19,,Comment résister 😘,Samsam,0,0
française,7426414061052562432,https://www.tiktok.com/@placeholder/video/7426414061052562432,2024-10-16 16:39:41,,Elle abime l'histoire de France 🇫🇷⚜️ #histoiredefrance #languefrançaise #rassemblementnational #droite #feministe #patriote #france,DROITARD,0,0
française,7020042362172836864,https://www.tiktok.com/@placeholder/video/7020042362172836864,2021-10-17 14:29:43,,La langue française 😂🎤 #paris #fyp #pourtoi #pourvous #micro #night #nuit #femme #interview #content #drole #humour #bestvideo #foryou #thisis4u,Nathan Morgenti,0,0
française,6995837245563358208,https://www.tiktok.com/@placeholder/video/6995837245563358208,2021-08-13 09:01:31,,vaut mieux ne pas savoir #tik_tok #girls #francaise #😝,ALHR,0,0
française,7482870552911186944,https://www.tiktok.com/@placeholder/video/7482870552911186944,2025-03-17 19:59:31,,Apprendre le français 🇫🇷💸 #français #apprendresurtiktok #france #vocabulaire,cashafrick,0,0
française,7360689494657371136,https://www.tiktok.com/@placeholder/video/7360689494657371136,2024-04-22 13:54:40,,Devenir un véritable français en quatre étapes. #fle  #speakfrench #parlerfrançais #vivreenfrance #francaisauthentique #culturefrancaise,lefrançaisnickel,0,0
française,7487256305242082304,https://www.tiktok.com/@placeholder/video/7487256305242082304,2025-03-29 15:38:31,,Au moins on a une belle culture #tiktokfrance #français #fyp,Alex,0,0
française,7395621785154096128,https://www.tiktok.com/@placeholder/video/7395621785154096128,2024-07-25 17:09:46,,Je rigole je suis pas dans ça,thisma✝️⏳🌍💶,0,0
française,7079454977105611776,https://www.tiktok.com/@placeholder/video/7079454977105611776,2022-03-26 17:01:00,,#pronunciafrancese #pronunciaciónfrancesa #frenchpronunciation #prononciationfrançaise #французскоепроизношение #français #apprenderlefrançais,Coach de prononciation🇫🇷,0,0
française,7224623624370621440,https://www.tiktok.com/@placeholder/video/7224623624370621440,2023-04-21 21:49:40,,C’est sans doute mon tout premier tiktok en français 😭😭😭 #fyp #foryou #foryoupage #pourtoi #trend #dubai #french,Ines🧚‍♀️,0,0
française,7456561222385683456,https://www.tiktok.com/@placeholder/video/7456561222385683456,2025-01-05 22:25:54,,Mieux on en rigole 🤣 #studentlife #france🇫🇷 #etrangerenfrance #tiktokfrance🇨🇵 #🇫🇷🇧🇯 #pourtoii,Mlle M👸🏾,0,0
